"filename", "language", "Batch", "Markdown", "CMake Cache", "JSON", "CMake", "Makefile", "Ini", "XML", "Log", "Python", "C++", "C", "HTML", "comment", "blank", "total"
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\feature_tests.cxx", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 4, 406
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\win-vind.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\win-vind.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CPackConfig.cmake", "CMake", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CPackSourceConfig.cmake", "CMake", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 106
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\Makefile", "Makefile", 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 102, 159, 576
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\cmake_install.cmake", "CMake", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Binders.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Binders.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Binders.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
